Number,Title,Mood,Length,Familiarity,Limited,Easter,Patriotic,Pioneer,Thanksgiving,Christmas,NewYear,Sacrament,Fasting,Closing,Dismiss
181,"Jesus of Nazareth, Savior and King",Worshipfully,3,4,x,,,,,,,x,,,
182,We’ll Sing All Hail to Jesus’ Name,Fervently,3,4,x,,,,,,,x,,,
183,In Remembrance of Thy Suffering,Reverently,3,4,x,,,,,,,x,,,
184,Upon the Cross of Calvary,Solemnly,2,4,x,,,,,,,x,,,
185,Reverently and Meekly Now,Reverently,5,4,x,,,,,,,x,,,
186,Again We Meet around the Board,Thoughtfully,3,3,x,,,,,,,x,,,
187,"God Loved Us, So He Sent His Son",With dignity,3,4,x,,,,,,,x,,,
188,"Thy Will, O Lord, Be Done",Thoughtfully,2,4,x,,,,,,,x,,,
189,"O Thou, Before the World Began",Prayerfully,3,2,x,,,,,,,x,,,
190,In Memory of the Crucified,Prayerfully,2,4,x,,,,,,,x,,,
191,Behold the Great Redeemer Die,Reverently,5,4,x,,,,,,,x,,,
192,He Died! The Great Redeemer Died,Fervently,3,4,x,,,,,,,x,,,
193,I Stand All Amazed,Thoughtfully,4,4,x,,,,,,,x,,,
194,There Is a Green Hill Far Away,Reverently,2,4,x,,,,,,,x,,,
195,How Great the Wisdom and the Love,Calmly,4,4,x,,,,,,,x,,,
196,"Jesus, Once of Humble Birth",Solemnly,3,4,x,,,,,,,x,,,
197,"O Savior, Thou Who Wearest a Crown",Thoughtfully,4,4,x,,,,,,,x,,,
198,That Easter Morn,With dignity,2,2,x,x,,,,,,,,,
199,He Is Risen!,With dignity,2,4,x,x,,,,,,,,,
200,Christ the Lord Is Risen Today,With exultation,2,4,x,x,,,,,,,,,
201,Joy to the World,Jubilantly,2,5,x,,,,,x,,,,,
202,"Oh, Come, All Ye Faithful",Majestically,3,5,x,,,,,x,,,,,
203,Angels We Have Heard on High,Joyfully,3,4,x,,,,,x,,,,,
204,Silent Night,Peacefully,3,4,x,,,,,x,,,,,
205,Once in Royal David’s City,Reverently,2,4,x,,,,,x,,,,,
206,Away in a Manger,Reverently,3,4,x,,,,,x,,,,,
